p31,label_en,label_kk,label_ru
Q2080304,short dance,short dance,Короткий танец
Q2085381,publishing house,Баспа,издательство
Q2088357,musical ensemble,musical ensemble,музыкальный ансамбль
Q20901295,foreign affairs ministry,foreign affairs ministry,министерство иностранных дел
Q20926517,religious administrative territorial entity,religious administrative territorial entity,религиозное административно-территориальное образование
Q209333,oxbow lake,oxbow lake,старица
Q209465,campus,campus,кампус
Q2095,food,азық-түлік,пища
Q2097208,transculturation,transculturation,транскультурация
Q2101619,political slogan,political slogan,политический лозунг
Q210167,video game developer,video game developer,разработчик компьютерных игр
Q210272,cultural heritage,cultural heritage,культурное наследие
Q21077649,Asian Track Cycling Championships,Asian Track Cycling Championships,Чемпионат Азии по трековому велоспорту
Q211503,clan,тұқым,род
Q21152976,ballet of an area,ballet of an area,балет на территории
Q211748,oil field,oil field,нефтяное месторождение
Q2122214,national archives,national archives,национальный архив
Q2135465,legal term or legal concept,заңи түсінік,юридическое понятие
Q2144320,overhead power line,overhead power line,воздушная линия электропередач
Q2145163,trunk road,trunk road,магистральная дорога
Q21480300,mass shooting,mass shooting,массовый расстрел
Q21507948,former village,former village,бывшая деревня
Q2151621,energy industry,дәстүрлі энергетика,энергетика
Q215380,musical group,musical group,музыкальная группа
Q216107,department store,универмаг,универсальный магазин
Q21623879,Wikimedia Commons atlas page,Wikimedia Commons atlas page,страница проекта Викисклад:Атлас
Q216353,title,Дәреже,титул
Q21644177,execution of fellow soldiers,execution of fellow soldiers,расстрел сослуживцев
Q21663239,Persian dialect,Persian dialect,диалекты персидского языка
Q21686038,Cabinet of Kazakhstan,Cabinet of Kazakhstan,Cabinet of Kazakhstan
Q2175765,tram stop,tram stop,трамвайная остановка
Q2177064,Russian Large Landscape,Russian Large Landscape,ландшафт России
Q218631,customs territory,customs territory,таможенная территория
Q21980538,commercial organization,commercial organization,коммерческая организация
Q220505,film festival,Кинофестиваль,кинофестиваль
Q2221906,geographic location,geographic location,географическое местоположение
Q22222786,government program,government program,правительственная программа
Q2230431,sound archive,sound archive,фонотека
Q22328259,Tour of Baikonur,Tour of Baikonur,Тур Байконура
Q22328402,Tour of Oskemen,Tour of Oskemen,Тур Усть-Каменогорска
Q22328407,Tour of Burabay,Tour of Burabay,Тур Бурабая
Q22328526,Tour of Kapchagay,Tour of Kapchagay,Тур Капчагая
Q22333025,Kazakhstani legislative election,Kazakhstani legislative election,Kazakhstani legislative election
Q223371,stock market index,Қор индексі,фондовый индекс
Q223393,literary genre,әдеби жанр,литературный жанр
Q22667,railway,Темір жол,железная дорога
Q22674925,former settlement,former settlement,бывший населённый пункт
Q22676729,time by area,time by area,время по регионам
Q22687,bank,Банк,банк
Q2269756,ministry of education,ministry of education,министерство образования
Q22698,park,park,парк
Q22706,vehicle registration plate,автомобиль нөмірлері,автомобильные номера
Q22907440,Congress of Leaders of World and Traditional Religions,Әлемдік және дәстүрлі діндер лидерлерінің съезі,Congress of Leaders of World and Traditional Religions
Q23036198,hostage-rescue mission,hostage-rescue mission,миссия по спасению заложников
Q2306612,national road cycling championship,national road cycling championship,Национальный чемпионат по шоссейному велоспорту
Q231002,nationality,nationality,национальность
Q2319498,architectural landmark,architectural landmark,памятник архитектуры
Q2321921,type of legal entity in Russia,type of legal entity in Russia,тип некоммерческих организаций в России
Q2334719,legal case,legal case,судебное дело
Q233591,communist party,Коммунистік Партия,коммунистическая партия
Q23397,lake,көл,озеро
Q23442,island,Арал,остров
Q23492,official language,ресми тіл,официальный язык
Q23691,national anthem,Ұлттық әнұран,государственный гимн
Q23726798,elite national cycling team,elite national cycling team,национальная сборная по велоспорту Элита
Q2383962,vicariate (Eastern Orthodoxy),vicariate (Eastern Orthodoxy),викариатство
Q2385804,educational institution,білім мекемесі,образовательное учреждение
Q23901137,national under-19 association football team,national under-19 association football team,national under-19 association football team
Q2390458,telephone numbering plan,Телефонды нөмірлеу жоспары,план нумерации
Q23905105,women's national association football team,women's national association football team,женская сборная страны по футболу
Q239582,symphony orchestra,Симфониялық оркестр,симфонический оркестр
Q23983664,demographics of country or region,demographics of country or region,демография по странам и регионам
Q2399523,technology ministry,technology ministry,министерство технологии
Q2401749,telecommunication company,telecommunication company,телекоммуникационная компания
Q2403977,prison labour camp,prison labour camp,исправительно-трудовой лагерь
Q2406205,shootout,shootout,перестрелка
Q24069004,Presidential elections in Kazakhstan,Presidential elections in Kazakhstan,выборы президента Казахстана
Q2412834,reserve team,reserve team,дублирующий состав
Q24255438,Hydrological natural heritage site,Hydrological natural heritage site,гидрологический памятник природы
Q24354,theatre building,theatre building,здание театра
Q2446662,tourism ministry,tourism ministry,министерство туризма
Q245065,intergovernmental organization,Үкіметаралық халықаралық үйымдар,международная межправительственная организация
Q24529780,point,point,ландшпитц
Q2460422,guest house,Pension,гостевой дом
Q2466826,UCI Women's Team,UCI Women's Team,UCI Women's Team
Q2467461,academic department,academic department,кафедра
Q2470540,chamber orchestra,chamber orchestra,камерный оркестр
Q2472587,people,халық,народ
Q2485448,sports governing body,sports governing body,спортивная федерация
Q2495862,congress,съезд,съезд
Q2515494,constitutional referendum,constitutional referendum,конституционный референдум
Q2516426,transport ministry,transport ministry,министерство транспорта
Q251777,custom,Әдет-ғұрыптар,обычай
Q25295,language family,тілдердің топтары,языковая семья
Q25297630,international bridge,international bridge,трансграничный мост
Q25380035,ethnic community,Этникалық Қауымдастық,этническая общность
Q25391,dune,дюналар,дюна
Q25550763,visual arts of an area,visual arts of an area,изобразительное искусство территории
Q25621246,painting of an area,painting of an area,живопись на территории
Q25676476,Persian language in an area,Persian language in an area,персидский язык на территории
Q25679497,art of an area,art of an area,искусство территории
Q2570643,senate,Сенат,сенат
Q2593777,grave field,Қорым,могильник
Q2618461,legislative election,legislative election,выборы в законодательный орган
Q2620826,declaration,Мағлұмдама,декларация
Q26213387,Olympic delegation,Olympic delegation,страна на Олимпийских играх
Q2628882,legal status,legal status,правовой статус
Q2643128,district of Kazakhstan,Қазақстан аудандары,район Казахстана
Q2659904,government organization,government organization,государственная организация
Q2668072,collection,collection,коллекция
Q2674774,student association,student association,student association
Q26884324,Wikimedia outline article,Wikimedia outline article,обзорная статья Викимедиа
Q26887310,association football team season,association football team season,сезон футбольной команды
Q26887428,nation at competition,nation at competition,страна на соревновании
Q2693624,jubilee medal,jubilee medal,юбилейная медаль
Q27020041,sports season,sports season,розыгрыш спортивного турнира
Q27020779,ice hockey team season,ice hockey team season,хоккейный сезон
Q27028153,tram depot,tram depot,трамвайное депо
Q27031827,open data portal,open data portal,портал открытых данных
Q27032363,photo archive,photo archive,фотоархив
Q27042502,Kazakhstan National Road Cycling Championships - Men RR,Kazakhstan National Road Cycling Championships - Men RR,Чемпионат Казахстана по шоссейному велоспорту - групповая гонка (мужчины)
Q27042506,Kazakhstan National Road Cycling Championships - Men ITT,Kazakhstan National Road Cycling Championships - Men ITT,Чемпионат Казахстана по шоссейному велоспорту - индивидуальная гонка (мужчины)
Q27042507,Kazakhstan National Road Cycling Championships - Men U23 RR,Kazakhstan National Road Cycling Championships - Men U23 RR,Чемпионат Казахстана по шоссейному велоспорту - групповая гонка (мужчины U23)
Q27042512,Kazakhstan National Road Cycling Championships - Men U23 ITT,Kazakhstan National Road Cycling Championships - Men U23 ITT,Чемпионат Казахстана по шоссейному велоспорту - индивидуальная гонка (мужчины U23)
Q27067659,former river,former river,бывшая река
Q270791,state-owned enterprise,Мемлекеттік Кәсіпорын,государственное предприятие
Q273120,protest,Қарсылық қозғалысы,протест
Q27345018,international tripoint,international tripoint,международный пограничный стык
Q2739132,World Allround Speed Skating Championships for Men,World Allround Speed Skating Championships for Men,Чемпионат мира по конькобежному спорту в классическом многоборье — мужчины
Q274153,water tower,Су айдауыш мұнара,водонапорная башня
Q274393,bakery,bakery,пекарня
Q2748296,varieties of Chinese,varieties of Chinese,разновидности китайского
Q27566398,Russian language in an area,Russian language in an area,русский язык на территории
Q27686,hotel,Қонақ Үй,гостиница
Q2772772,military museum,military museum,военный музей
Q27968055,recurring event edition,recurring event edition,версия для повторяющегося события
Q28043022,proposed rail infrastructure,proposed rail infrastructure,перспективная железнодорожная инфраструктура
Q28108,political system,саяси жүйе,политическая система
Q28140340,women's association football team,women's association football team,женская футбольная команда
Q28640,profession,мамандық,профессия
Q28653,mendicant order,mendicant order,нищенствующий орден
Q286576,register,register,языковой регистр
Q28747937,history of a city,history of a city,история города
Q28777651,group of protected areas,group of protected areas,группа природоохранных зон
Q2887554,coal basin,Көмір кені,угольный бассейн
Q29110152,Wikidata property related to tourism,Wikidata property related to tourism,"свойство Викиданных, относящееся к туризму"
Q2912397,single-day road race,single-day road race,однодневная велогонка
Q291240,car rental company,car rental company,прокат автомобилей
Q29224491,futsal league,futsal league,мини-футбольная лига
Q29292775,national badminton team,national badminton team,сборная по бадминтону
Q2935978,irrigation canal,irrigation canal,ирригационный канал
Q294414,public office,мемлекеттік лауазым,государственная должность
Q2944640,gas-fired power station,gas-fired power station,газовая электростанция
Q2949123,Asian Championship,Азия чемпионаты,Чемпионат Азии
Q295469,ecoregion,ecoregion,экологический регион
Q29553,sanctuary,sanctuary,санктуарий
Q29592127,badminton association,badminton association,badminton association
Q29643579,multi-level marketing company,multi-level marketing company,многоуровневая маркетинговая компания
Q2966838,chronolect,chronolect,хронолект
Q29791211,sport in a geographic region,sport in a geographic region,спорт в географическом регионе
Q2990216,mining company,mining company,горное предприятие
Q2990946,golf tournament,golf tournament,турнир по гольфу
Q2990963,figure skating competition,figure skating competition,соревнование по фигурному катанию
Q29925,salt marsh,salt marsh,солёные марши
Q3002772,political crisis,political crisis,политический кризис
Q30178840,SCO summit,SCO summit,Саммит ШОС
Q30198,marsh,батпақ,болото
Q30225604,Wikidata property related to a National Olympic or Paralympic Committee,Wikidata property related to a National Olympic or Paralympic Committee,"свойство Викиданных, относящееся к Национальному олимпийскому или паралимпийскому комитету"
Q3024240,historical country,тарихи мемлекет,историческое государство
Q303874,ab anbar,Сардоба,сардоба
Q30612,clinical trial,clinical trial,клинические исследования
Q3146899,diocese of the Catholic Church,diocese of the Catholic Church,католическая епархия
Q31510394,Kazakhstan National Road Cycling Championships - Women RR,Kazakhstan National Road Cycling Championships - Women RR,Чемпионат Казахстана по шоссейному велоспорту - групповая гонка (женщины)
Q3152824,cultural institution,cultural institution,учреждение культуры
Q31529645,Kazakhstan National Road Cycling Championships - Women ITT,Kazakhstan National Road Cycling Championships - Women ITT,Чемпионат Казахстана по шоссейному велоспорту - индивидуальная гонка (женщины)
Q31629,type of sport,type of sport,вид спорта
Q3176665,nationality law,nationality law,закон о гражданстве
Q31855,research institute,ғылыми-зерттеу институты,научно-исследовательский институт
Q3193890,environmental disaster,Экологиялық Апат аймақтары,экологическая катастрофа
Q3199915,massacre,massacre,бойня
Q32099,meridian,меридиан,меридиан
Q3238445,security agency,security agency,служба безопасности
Q3240715,crater,crater,кратер
Q3241045,disease outbreak,disease outbreak,вспышка эпидемии
Q3253281,pond,pond,пруд
Q3257686,locality,locality,обжитая местность
Q3270632,national championship,national championship,национальный чемпионат
Q327333,government agency,government agency,орган публичной власти
Q3273417,lists of sportspeople,lists of sportspeople,список спортсменов
Q32766,constitutional court,Конституциялық Сот,конституционный суд
Q32815,mosque,мешіт,мечеть
Q3302125,state decoration,state decoration,государственная награда
Q33060692,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships
Q3320743,title of honor,құрметті атақ,почётное звание
Q3329412,archaeological museum,archaeological museum,археологический музей
Q33384,dialect,диалект,диалект
Q33506,museum,мұражай,музей
Q336532,vacation rental,vacation rental,vacation rental
Q337060,perceptible physical object,perceptible physical object,предмет
Q33742,natural language,natural language,естественный язык
Q33829,human population,human population,население
Q338313,business park,business park,бизнес-парк
Q33837,archipelago,Топарал,архипелаг
Q34023,tumulus,tumulus,тумулус
Q34038,waterfall,Сарқырама,водопад
Q34262807,national association football super cup,national association football super cup,суперкубок страны по футболу
Q34379419,sand area,sand area,песчаный массив
Q34439356,hurricane,hurricane,ураган
Q34442,road,автомобиль жолы,дорога
Q34548322,national association football competition,national association football competition,национальный футбольный турнир
Q34763,peninsula,түбек,полуостров
Q34770,language,тіл,язык
Q349,sport,спорт,спорт
Q3497768,dry lake,dry lake,бессточная западина
Q3502482,cultural region,cultural region,культурный регион
Q350604,armed conflict,қарулы қақтығыс,вооружённый конфликт
Q35127,website,Сайт,сайт
Q351764,e-commerce payment system,e-commerce payment system,электронная платёжная система
Q35509,cave,үңгір,пещера
Q355304,watercourse,Су ағыны,водоток
Q35535,police,Полиция,полиция
Q3558349,presidency,presidency,президентство
Q3565868,rail transport,темір жол көлігі,железнодорожный транспорт
Q35666,glacier,мұздық,ледник
Q3575260,bijou,bijou,бижутерия
Q35798,executive branch,атқарушы билік,исполнительная власть
Q358,heritage site,heritage site,национальный объект культурного наследия
Q358078,road network,road network,дорожная сеть
Q35823051,nation at the World Athletics Championships,nation at the World Athletics Championships,страны на чемпионате мира по лёгкой атлетике
Q3612735,Almaty Cup,Almaty Cup,Almaty Cup
Q3624078,sovereign state,тәуелсіз мемлекет,суверенное государство
Q3664326,Pirate Party,Pirate Party,пиратская партия
Q368290,film distributor,film distributor,кинодистрибьютор
Q3695082,sign,Сигнификат,знак
Q3699460,defile,defile,defile
Q37002670,unicameral legislature,unicameral legislature,однопалатный парламент
Q372690,consulate general,consulate general,генеральное консульство
Q373609,water pipeline,Су жүргізгіш,водопровод
Q3742928,folk culture,folk culture,народная культура
Q375928,lower house,lower house,нижняя палата парламента
Q376935,deposit insurance,deposit insurance,система страхования вкладов
Q37726,army,армия,сухопутные войска
Q37736399,traditional craft,traditional craft,traditional craft
Q37901,strait,бұғаз,пролив
Q3839081,disaster,апат,катастрофа
Q386636,ultras,ультрас,ультрас
Q3874020,national youth sports team,national youth sports team,молодёжная сборная
Q3885324,Order of Glory,Даңқ ордені,орден Данк
Q388602,electoral alliance,electoral alliance,избирательный альянс
Q3887,solar eclipse,solar eclipse,солнечное затмение
Q3910963,President's Cup,President's Cup,Кубок президента Казахстана по теннису
Q3914,school,мектеп,школа
Q391414,architectural element,architectural element,строительный блок
Q3917681,embassy,елшілік,посольство
Q3918,university,университет,университет
Q39594,bay,шығанақ,залив
Q39614,cemetery,зират,кладбище
Q39715,lighthouse,Шамшырақ,маяк
Q39816,valley,аңғар,долина
Q39825,census,Халық санағы,перепись населения
Q39835986,sports website,sports website,спортивный сайт
Q399495,standard language,әдеби тіл,стандартный язык
Q4,death,өлім,смерть
Q40050,drink,сусындар,напиток
Q4022,river,өзен,река
Q40231,public election,сайлау,выборы
Q40244,marathon,Марафон,марафон
Q40444998,academic workshop,academic workshop,научный семинар
Q405155,trade route,trade route,торговый путь
Q4114178,,,водохозяйственный участок
Q41176,building,building,здание
Q4121104,sports title,sports title,спортивное звание
Q41298,magazine,журнал,журнал
Q4138169,hydraulic complex,hydraulic complex,гидроузел
Q414147,academy of sciences,academy of sciences,академия наук
Q4144557,mining and processing plant,mining and processing plant,горно-обогатительный комбинат
Q4164871,position,лауазым,должность
Q4167836,Wikimedia category,Уикимедиа санаты,категория в проекте Викимедиа
Q41710,ethnic group,этникалық топ,этническая группа
Q4171307,Spiritual Administration of the Muslims,Мұсылмандар діни басқармасы,Духовное управление мусульман
Q42032,country code top-level domain,country code top-level domain,национальный домен верхнего уровня
Q4208088,Kazakh traditions,Қазақ халқының әдет-ғұрпы мен салт-дәстүрлері,Казахские традиции
Q4208097,Kazakh tribes,Қазақ рулары,Казахские рода
Q420962,heritage railway,heritage railway,историческая железная дорога
Q4216603,cascade,cascade,каскад ГЭС
Q42195,petroglyph,Петроглиф,петроглиф
Q4223017,hierarchical classifier,hierarchical classifier,иерархический классификатор
Q422695,awareness day,awareness day,памятная дата
Q422710,center of action,center of action,центр активности
Q42421242,field hockey club,field hockey club,команда по хоккею на траве
Q4271324,mythical character,mythical character,мифический персонаж
Q4283953,Mäslihat,Мәслихат,Маслихат
Q4287745,medical organization,medical organization,медицинская организация
Q4291415,oil and gas field,Мұнай және газ кеніштері,месторождение нефти и газа
Q4296769,metropolitan district,metropolitan district,митрополичий округ
Q42998,orchestra,оркестр,оркестр
Q4306036,museum-reserve,museum-reserve,музей-заповедник
Q43109,referendum,референдум,референдум
Q431289,brand,бренд,бренд
Q4318087,oil and gas bearing oblast,oil and gas bearing oblast,нефтегазоносная область
Q43229,organization,ұйым,организация
Q4329294,regional committee of the CPSU,КОКП облыстық комитеті,областной комитет КПСС
Q4330260,public foundation,Қоғамдық қор,общественный фонд
Q43483,water well,құдық,колодец
Q4366834,transboundary river,Шекаралық өзендер,трансграничная река
Q4375507,honorary title of Kazakhstan,honorary title of Kazakhstan,почётное звание Казахстана
Q4380244,free skating,free skating,Произвольная программа
Q4380246,free dance,free dance,произвольный танец
Q4414032,rural district of Kazakhstan,Ауылдық округі,сельский округ
Q4421,forest,орман,лес
Q4421924,orogenic belt,orogenic belt,складчатый пояс
Q4433740,women's national basketball team,women's national basketball team,Список женских национальных сборных по баскетболу
Q4438121,sports organization,sports organization,спортивная организация
Q4443227,Stone Age site,Stone Age site,стоянка
Q44497,mining,шахта,горное дело
Q44512,epidemic,эпидемия,эпидемия
Q44613,monastery,Монастырь,монастырь
Q4476438,former district of Kazakhstan,Қазақстанның таратылған аудандары,упразднённые районы Казахстана
Q4493701,association football trophy or award,association football trophy or award,футбольная награда или трофей
Q4498974,ice hockey team,ice hockey team,хоккейная команда
Q4508,navy,Әскери-теңіз флоты,военно-морской флот
Q4533081,ethnolinguistic group,ethnolinguistic group,этноязыковая общность
Q45400320,open-access publisher,open-access publisher,издатель свободного доступа
Q45762,dead language,өлі тілдер,мёртвый язык
Q46124,sanatorium,Шипажай,санаторий
Q46135307,nation at sport competition,nation at sport competition,страна на спортивном соревновании
Q46169,national park,Ұлттық парк,национальный парк
Q46190676,tennis event,tennis event,теннисное мероприятие
Q46195901,Paralympics delegation,Paralympics delegation,страна на Паралимпийских играх
Q46351685,national basketball team,national basketball team,сборная по баскетболу
Q464780,mint,mint,монетный двор
Q4654165,Category:Wikipedia meetups,Category:Wikipedia meetups,Категория:Википедия:Викивстречи
Q46622,controlled-access highway,Автомагистраль,автомагистраль
Q4671277,academic institution,академиялық оқу орны,академическое учебное заведение
Q46831,mountain range,Таулы үстірт,горный хребет
Q46865913,geography of geographic location,geography of geographic location,география географического положения
Q46970,airline,Әуе компания,авиакомпания
Q46997958,climate of geographic location,climate of geographic location,климат на территории
Q47345468,tennis tournament edition,tennis tournament edition,розыгрыш теннисного турнира
Q473972,protected area,protected area,природоохранная зона
Q47403752,tennis tournament edition by gender,tennis tournament edition by gender,tennis tournament edition by gender
Q47443726,recurring tennis tournament,recurring tennis tournament,recurring tennis tournament
Q47460286,national beach soccer team,national beach soccer team,сборная страны по пляжному футболу
Q47461344,written work,жазбаша туынды,письменная работа
Q47486890,former lake,former lake,бывшее озеро
Q47505416,confectionery,confectionery,кондитерская
Q47521,stream,stream,ручей
Q476028,association football club,футбол клубы,футбольный клуб
Q477544,new religious movement,жаңа діни қозғалыстар,новое религиозное движение
Q47913,intelligence agency,intelligence agency,спецслужба
Q48004378,esport competition,esport competition,киберспортивное соревнование
Q480242,statistical service,statistical service,статистическая служба
Q480260,local coat of arms,local coat of arms,герб муниципалитета
Q4806618,Asian Cycling Championships,Тас жол веложарыстарынан Азия чемпионаты,Чемпионат Азии по велоспорту
Q48204,voluntary association,Клуб,добровольная ассоциация
Q4830453,business,кәсіпорын,бизнес
Q483110,stadium,стадион,стадион
Q4835091,territory,territory,территориальная единица
Q48356,minaret,minaret,минарет
Q484652,international organization,халықаралық ұйымдар,международная организация
Q485027,body armor,body armor,доспехи
Q4867756,basketball tournament,basketball tournament,баскетбольный турнир
Q486972,human settlement,елді мекен,населённый пункт
Q489209,joint venture,Бірлескен кәсіпорын,совместное предприятие
Q4944646,Border outpost,Border outpost,Пограничная застава
Q4946461,spa town,Саяжай,курортный спа-городок
Q494829,bus station,автовокзал,автостанция
Q495430,general staff,Бас Штаб,Генеральный штаб
Q49773,social movement,Қоғамдық қозғалыс,общественное движение
Q498002,aerial tramway,aerial tramway,воздушный трамвай
Q4989906,monument,Ескерткіш,памятник
Q5,human,адам,человек
Q50061750,Asian Road Cycling Championships - Women RR,Asian Road Cycling Championships - Women RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (женщины)
Q50062728,Asian Road Cycling Championships - Women ITT,Asian Road Cycling Championships - Women ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины)
Q5061188,house of culture,house of culture,дом культуры
Q507619,retail chain,retail chain,сеть магазинов
Q51031626,sport competition at a multi-sport event,sport competition at a multi-sport event,вид спорта на мультиспортивных соревнованиях
Q51481377,women's association football club,women's association football club,женский футбольный клуб
Q515,city,қала,город
Q518261,cultural area,cultural area,историко-культурная область
Q519608,classification yard,classification yard,сортировочная станция
Q52103661,former island,former island,бывший остров
Q52110228,geopolitical group,geopolitical group,геополитическое сообщество
Q5225895,public limited company,public limited company,public limited company
Q5257307,prize,Ұтыс,премия
Q5292,encyclopedia,энциклопедия,энциклопедия
Q53062420,nation in the Junior Eurovision Song Contest,nation in the Junior Eurovision Song Contest,страна на детском конкурсе Евровидение
Q53534649,cycling team season,cycling team season,сезон велокоманды
Q537127,road bridge,road bridge,автомобильный мост
Q53732481,nuclear test site,nuclear test site,nuclear test site
Q54050,hill,төбе,холм
Q54660600,national cycling team,national cycling team,национальная сборная по велоспорту
Q549276,flotilla,Флотилия,флотилия
Q55075651,upland,Қырат,возвышенность
Q55135234,zone,zone,zone
Q55190120,narcological dispensary,наркологиялық диспансер,наркологический диспансер
Q55379753,handball federation,handball federation,гандбольная федерация
Q55392224,salt area,salt area,salt area
Q55456485,national statistical system,national statistical system,национальная статистическая система
Q55465414,lake channel,lake channel,lake channel
Q55470128,intermittent oxbow lake,intermittent oxbow lake,intermittent oxbow lake
Q55470156,intermittent salt lake,intermittent salt lake,сезонное солёное озеро
Q55488,railway station,темір жол стансасы,железнодорожная станция
Q55493,goods station,goods station,грузовая железнодорожная станция
Q55650689,Wikidata property for authority control for writers,Wikidata property for authority control for writers,свойство для нормативного контроля писателей
Q55659167,natural watercourse,natural watercourse,естественный водоток
Q55678,railway stop,railway stop,остановочный пункт на железной дороге
Q55818,impact crater,Метеориттік кратер,ударный кратер
Q55958305,languages of a country,languages of a country,языки страны
Q55977691,Wikidata property for authority control for administrative subdivisions,Wikidata property for authority control for administrative subdivisions,свойство Викиданных для нормативного контроля административных единиц
Q56019,military rank,Әскери атақтар,воинское звание
Q56061,administrative territorial entity,әкімшілік-аумақтық бөлініс,административно-территориальная единица
Q56190453,memorial complex,memorial complex,мемориальный комплекс
Q56249389,Wikidata property to identify railway stations,Wikidata property to identify railway stations,свойство Викиданных для идентификации железнодорожных станций
Q56257551,sea terminal,marine terminal,морской терминал
Q56276798,rhythm dance,rhythm dance,rhythm dance
Q56377753,,,проектный институт
Q56507866,gulag camp,gulag camp,ГУЛАГ
Q56610307,rally raid race,rally raid race,rally raid race
Q5681048,partial solar eclipse,partial solar eclipse,частное солнечное затмение
Q568407,location identifier,location identifier,код аэропорта
Q5691927,annular solar eclipse,annular solar eclipse,кольцеобразное солнечное затмение
Q57208171,section of watercourse,section of watercourse,участок реки
Q57237852,dry stream bed,dry stream bed,dry stream bed
Q57305,trade fair,trade fair,промышленная ярмарка
Q57315360,necked bowl lute sounded by plectrum,necked bowl lute sounded by plectrum,necked bowl lute sounded by plectrum
Q57346,defensive wall,defensive wall,городские стены
Q5737,burial mound,Қорған,курган
Q57494273,short track speed skating competition,short track speed skating competition,соревнование по шорт-треку
Q57598,national day,Тәуелсіздік күні,национальный праздник
Q57655560,corporation,corporation,американская корпорация
Q5770868,medieval city,Ортағасырлық қала,средневековый город
Q57733494,badminton event,badminton event,badminton event
Q57831,fortress,қамал,крепость
Q580112,military district,Әскери Округ,военный округ
Q582577,economic policy,экономикалық саясат,экономическая политика
Q58840819,national rugby union team,national rugby union team,национальная сборная по регби
Q58841125,women's national rugby union team,women's national rugby union team,женская сборная страны по регби
Q58863414,female beauty pageant,female beauty pageant,женский конкурс красоты
Q58973026,rugby union governing body,rugby union governing body,rugby union governing body
Q591942,distributary,distributary,рукав реки
Q5926864,group of lakes,group of lakes,группа озёр
Q59541917,Wikimedia topic category,Wikimedia topic category,тематическая категория Викимедиа
Q60176300,Eastern Orthodox eparchy,Eastern Orthodox eparchy,православная епархия
Q6017815,kishlak,Қыстау,кишлак
Q604177,municipal archive,municipal archive,городские архивы
Q60754876,grade of an order,grade of an order,степень ордена
Q6129871,irrigation system,irrigation system,оросительная система
Q6138323,railway workshop,railway workshop,вагоноремонтное предприятие
Q6138528,political coalition,political coalition,политическая коалиция
Q614289,Pennysaver,Pennysaver,Газеты бесплатных объявлений
Q61441268,professional holiday,professional holiday,профессиональный праздник
Q6154783,UCI WorldTeam,UCI WorldTeam,UCI WorldTeam
Q61702941,national rugby sevens team,national rugby sevens team,national rugby sevens team
Q617839,apartment hotel,apartment hotel,апарт-отель
Q618123,geographical feature,Географиялық нысан,географический объект
Q618779,award,award,награда
Q61883,air force,Әскери-Әуе Күштері,военно-воздушные силы
Q61974339,esports team,esports team,киберспортивная команда
Q61983760,women’s sports competition,women’s sports competition,women’s sports competition
Q620045,apostolic nunciature,apostolic nunciature,апостольская нунциатура
Q620615,mobile app,мобильді қосымша,мобильное приложение
Q622439,small and medium enterprises,Шағын бизнес,малые и средние предприятия
Q623109,sports league,sports league,лига
Q62447,aerodrome,Аэродром,аэродром
Q6256,country,ел,страна
Q62589316,Wikidata property for an identifier that suggests notability,Wikidata property for an identifier that suggests notability,"свойство Викиданных для идентификатора, предполагающее значимость"
Q625994,convention,convention,собрание
Q6266,nation,ұлт,нация
Q63349598,women's national handball team,women's national handball team,женская сборная по гандболу
Q63364175,ice hockey federation,ice hockey federation,федерация хоккея
Q63416577,national volleyball team,national volleyball team,национальная сборная по волейболу
Q63418223,women’s national volleyball team,women’s national volleyball team,женская сборная страны по волейболу
Q637017,episcopal conference,episcopal conference,конференция католических епископов
Q63871189,Wikidata property related to sports teams/clubs,Wikidata property related to sports teams/clubs,"свойство Викиданных, относящееся к спортивным командам и клубам"
Q64025381,women's national rugby sevens team,women's national rugby sevens team,women's national rugby sevens team
Q64027457,health by country or region,health by country or region,здоровье по странам и регионам
Q64027599,gas station chain,gas station chain,gas station chain
Q64027602,healthcare by country or region,healthcare by country or region,здравоохранение по стране или региону
Q640506,cabinet,Министрлер кабинеті,кабинет министров
Q645466,national coat of arms,national coat of arms,государственный герб
Q6456916,national economy,Ұлттық экономика,народное хозяйство
Q64728935,future event,future event,будущее событие
Q64801076,education in country or region,education in country or region,образование на территории
Q65149786,Asian Road Cycling Championships,Asian Road Cycling Championships,Чемпионат Азии по шоссейному велоспорту
Q654772,hostel,hostel,хостел
Q65553774,chain,chain,сеть
Q65583700,scientific institute,scientific institute,научный институт
Q6558431,coal-fired power station,coal-fired power station,угольная электростанция
Q65743816,Grand Prix,Grand Prix,гран-при
Q65770283,association football final,association football final,финал футбольного турнира
Q658255,subsidiary company,Еншілес қоғам,дочернее общество
Q6589202,interior ministry,interior ministry,министерство внутренних дел
Q6593141,Freedom of religion by country,Freedom of religion by country,Freedom of religion by country
Q661702,anabranch,anabranch,проток
Q6617741,WWF ecoregion,WWF ecoregion,WWF ecoregion
Q66344,central bank,Орталық банк,центральный банк
Q66374263,religion of an area,religion of an area,религия на территории
Q665487,diocese,diocese,диоцез
Q66715753,Wikimedia list of persons by position held,Wikimedia list of persons by position held,список людей по занимаемой должности
Q66817758,national tennis team,national tennis team,сборная страны по теннису
